,Id,Name,Genres,Popularity,Img
0,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"['pop', 'r&b', 'soul']",84,"{'height': 640, 'url': 'https://i.scdn.co/image/51dad9aaabe5643818840207a9a8957c2ad91bf2', 'width': 640}"
1,6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,"['arkansas country', 'outlaw country']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/4eac84cd2ac4bf737f80ab9cd2357d41a11229fb', 'width': 640}"
2,03r4iKL2g2442PT9n2UKsx,Beastie Boys,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap', 'rock']",70,"{'height': 771, 'url': 'https://i.scdn.co/image/705bcd56dc5dbf9ebc578a3ba8094e6d622862c2', 'width': 1000}"
3,1EevBGfUh3RSQSGpluxgBm,Joan Baez,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter', 'traditional folk']",58,"{'height': 640, 'url': 'https://i.scdn.co/image/d09a5e4f1b49b8943ac2bc1a6d6f9d4e022bb7de', 'width': 640}"
4,7mEIug7XUlQHikrFxjTWes,Neil Diamond,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",71,"{'height': 640, 'url': 'https://i.scdn.co/image/f4d0fb18cb338eddee6b482779d946183a743b12', 'width': 480}"
5,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",70,"{'height': 1000, 'url': 'https://i.scdn.co/image/2e6d5966dafa119f4a75e7df62ffa163e0d861cd', 'width': 1000}"
6,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']",67,"{'height': 640, 'url': 'https://i.scdn.co/image/445c11fcc1637f94f48cee1d3354d478f10ac403', 'width': 640}"
7,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/a70e0a22056cf078a7d76f5602e59d969ee9f530', 'width': 640}"
8,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",79,"{'height': 640, 'url': 'https://i.scdn.co/image/afcd616e1ef2d2786f47b3b4a8a6aeea24a72adc', 'width': 640}"
9,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",81,"{'height': 640, 'url': 'https://i.scdn.co/image/85d9cb252ab4d8410d31820be40214c59f2597a1', 'width': 640}"
10,22WZ7M8sxp5THdruNY3gXt,The Doors,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",75,"{'height': 640, 'url': 'https://i.scdn.co/image/f8c0bf42e771e222886ab750138dfcd6ce0d33bd', 'width': 640}"
11,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']",74,"{'height': 640, 'url': 'https://i.scdn.co/image/14ce65949a921e76421a0164c17f9ebe0a8d76e8', 'width': 640}"
12,7bu3H8JO7d0UbMoVzbo70s,The Cure,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']",76,"{'height': 640, 'url': 'https://i.scdn.co/image/7ca743e822b80133971ccf5c70fcbd77a4f4f508', 'width': 640}"
13,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']",77,"{'height': 1048, 'url': 'https://i.scdn.co/image/3c1d23141059785c8a863137d176319329dc17ef', 'width': 1000}"
14,6uvq6FeVsmhOWfJHxVNeBL,Faron Young,"['classic country pop', 'honky tonk', 'rockabilly', 'traditional country']",46,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27331ad98dc9bfa9bed6bda112a', 'width': 640}"
15,4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",72,"{'height': 640, 'url': 'https://i.scdn.co/image/45bcc46c972bf295223ab99cd8379e8d96015896', 'width': 640}"
16,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,"['rock-and-roll', 'rockabilly']",82,"{'height': 640, 'url': 'https://i.scdn.co/image/5629fbf1c4e0bc4155eca3e08a2b98065eedd305', 'width': 640}"
17,1VEzN9lxvG6KPR3QQGsebR,Sonny Rollins,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride', 'swing', 'vocal jazz']",54,"{'height': 1500, 'url': 'https://i.scdn.co/image/7f0edf46ec91ef070e8dd73d442c8f00241416aa', 'width': 1000}"
