,Id,Name,Artist,Album,Year,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,2BU4dK1fu1CFLjTBz7ju7Q,This Place Hotel (a.k.a. Heartbreak Hotel),The Jacksons,Scream,2017,0.73,0.851,4,-4.085,0,0.101,0.243,0.000143,0.117,0.578,97.0
1,7azo4rpSUh8nXgtonC6Pkq,Thriller,Michael Jackson,Scream,2017,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427
2,0QgsvILuE9VQiAVsLStD3W,Blood on the Dance Floor,Michael Jackson,Scream,2017,0.806,0.816,1,-2.767,1,0.0764,0.0146,0.00933,0.0623,0.519,108.98
3,6A4Jc8npNo79BOgsrPptLA,Somebody's Watching Me - Single Version,Rockwell,Scream,2017,0.767,0.712,1,-4.128,0,0.0324,0.0409,8.08e-05,0.132,0.804,124.092
4,4FC7GMnGwYeAjuvC83Srbs,Dirty Diana - 2012 Remaster,Michael Jackson,Scream,2017,0.735,0.801,3,-4.525,1,0.0437,0.178,0.000408,0.324,0.331,131.425
5,0XOuVAHsANAWw0LF0Yxkw5,Torture,The Jacksons,Scream,2017,0.754,0.836,8,-4.703,1,0.0425,0.0179,2.53e-06,0.35,0.965,131.13
6,7zILPDxYcUt7AFslua0mc5,Leave Me Alone - 2012 Remaster,Michael Jackson,Scream,2017,0.844,0.964,4,-3.262,1,0.137,0.332,0.00331,0.0743,0.655,123.574
7,46576CnmgT6xr0RaZNF2Kt,Scream,"Michael Jackson, Janet Jackson",Scream,2017,0.782,0.966,0,-3.894,1,0.115,0.0991,1.1e-05,0.251,0.542,106.529
8,3Jo8w8vow92GQAbBJas0I5,Dangerous,Michael Jackson,Scream,2017,0.943,0.68,10,-4.931,1,0.125,0.0289,4.17e-05,0.114,0.578,112.946
9,4nLKSthLekoSBbI2S6B1LT,Unbreakable,Michael Jackson,Scream,2017,0.785,0.825,1,-2.187,1,0.146,0.0373,0.0413,0.0789,0.825,94.064
10,3Fi99RQtn8HeefySuU9Dq3,Xscape,Michael Jackson,Scream,2017,0.77,0.816,2,-4.118,1,0.0443,0.0507,1.6e-05,0.281,0.433,110.009
11,0YzDJ3Jm9EMjAD28vefkyH,Threatened,Michael Jackson,Scream,2017,0.843,0.738,1,-4.196,1,0.239,0.216,0.0,0.362,0.41,97.02
12,2JzcEEYul9ngmGGPzvFVNL,Ghosts,Michael Jackson,Scream,2017,0.819,0.928,4,-4.155,0,0.139,0.0393,2.76e-05,0.618,0.769,103.225
13,2H89IUBV4rAmzOmTShrxRL,Blood On The Dance Floor X Dangerous (The White Panda Mash-Up),"Michael Jackson, White Panda",Scream,2017,0.743,0.924,4,-3.041,0,0.119,0.261,0.0,0.394,0.548,110.042
14,0S5EEpFAHcT7cm5XOASc29,Love Never Felt So Good,Michael Jackson,XSCAPE,2014,0.634,0.87,5,-5.277,1,0.0362,0.083,0.0,0.18,0.514,116.967
15,5BKKy9fIJL5uM9fz1SnqyP,Chicago,Michael Jackson,XSCAPE,2014,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086
16,4T1JlEsHdrxGxBltSFe5yA,Loving You,Michael Jackson,XSCAPE,2014,0.711,0.744,7,-4.007,0,0.068,0.0997,1.91e-05,0.147,0.676,94.523
17,35SI5zFEhOeo4XDBMwS41S,A Place With No Name,Michael Jackson,XSCAPE,2014,0.538,0.698,11,-4.282,0,0.305,0.0103,3.45e-06,0.134,0.424,118.752
18,4h5KB1btt2aZBq9EJHmWF4,Slave to the Rhythm,Michael Jackson,XSCAPE,2014,0.739,0.96,1,-2.293,1,0.0581,0.146,3.68e-05,0.38,0.722,125.02
19,3Is1bUS1YtytSOfLk8892G,Do You Know Where Your Children Are,Michael Jackson,XSCAPE,2014,0.648,0.814,7,-2.968,1,0.0487,0.0582,0.0,0.0799,0.354,99.989
20,36lVpg8hgy37iZEazTOJBb,Blue Gangsta,Michael Jackson,XSCAPE,2014,0.624,0.701,6,-4.122,0,0.0527,0.177,0.0,0.0506,0.327,124.047
21,0xzSpvDboL5Imo8cP1vMXm,Xscape,Michael Jackson,XSCAPE,2014,0.773,0.83,2,-3.735,1,0.0421,0.0496,2.79e-05,0.246,0.412,110.01
22,7DciyLZWipMv860LBeupmK,Love Never Felt So Good (Original Version),Michael Jackson,XSCAPE,2014,0.608,0.427,7,-9.233,0,0.032,0.828,2.96e-06,0.078,0.58,120.435
23,3yNhWgz57tAUFGQm2btQ56,Chicago (Original Version),Michael Jackson,XSCAPE,2014,0.6,0.857,2,-4.19,0,0.0284,0.12,0.00849,0.115,0.827,164.058
24,5Yo0Jz7YDAEPKsklNfQTA6,Loving You (Original Version),Michael Jackson,XSCAPE,2014,0.69,0.65,11,-6.767,1,0.0448,0.327,0.000492,0.178,0.635,94.899
25,4ou1FyPwLpzeOU3YjeQ4Mw,A Place With No Name (Original Version),Michael Jackson,XSCAPE,2014,0.876,0.804,4,-3.727,0,0.061,0.176,0.0,0.0852,0.888,118.752
26,5L4dOpoWSz9CyvHvPjO5ao,Slave to the Rhythm (Original Version),Michael Jackson,XSCAPE,2014,0.963,0.899,8,-4.353,0,0.0822,0.0353,0.000647,0.0758,0.92,120.937
27,4atoBzVjNpqtfv1jyT1BS1,Do You Know Where Your Children Are (Original Version),Michael Jackson,XSCAPE,2014,0.744,0.831,7,-3.583,1,0.138,0.288,4.49e-06,0.193,0.855,97.094
28,5r36hkZKxmL4gleijg8scM,Blue Gangsta (Original Version),Michael Jackson,XSCAPE,2014,0.898,0.47,2,-4.132,1,0.188,0.0607,4.7e-06,0.316,0.717,124.059
29,48rgfUDLasxWtrbVbWAvqH,Xscape (Original Version),Michael Jackson,XSCAPE,2014,0.79,0.93,7,-2.49,1,0.0752,0.0633,0.00391,0.315,0.625,104.015
30,48td6xvpokdYwvbl3JIiXP,Love Never Felt So Good,"Michael Jackson, Justin Timberlake",XSCAPE,2014,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513
